campaign_id,business_name,category,business_location,promo,start_time,end_time,target_group,budget
CMP_6944_A23,Sharma Associates,Regional Cuisine Restaurants,Indore,Refer a Friend & Earn ₹500 wallet cash Get Offer,2025-04-29 10:24:20,2025-05-12 07:24:20,Music Lovers,37700
CMP_8566_A24,Apna Junction,Insurance Products,Shimla,New Arrival Launch Offer: Get Designer Diya Set% introductory discount Book Today!,2025-03-27 17:56:00,2025-06-24 19:56:00,Patients (Pharmacy),214600
CMP_6411_E25,Mumbai Tiffin Service,Bill Payments (Electricity/Water),Mumbai,First Time User? Get 60% OFF your first order! *Selected items only.,2025-05-12 12:24:37,2025-07-21 11:24:37,Job Seekers,629600
CMP_2544_A26,Aurangabad Computer Repair,Ayurvedic Wellness,Aurangabad,Independence Day Sale: Upto 20% OFF everything! Weekend Deal!,2025-04-16 10:59:01,2025-06-14 11:59:01,Senior Citizens (60+),112800
CMP_2542_C27,Vedic Solutions,Art Galleries,Rishikesh,Ganesh Chaturthi Offer: Free Modak box with select sweet purchases Learn More Offer Ends Soon! *T&C Apply.,2025-03-31 17:11:01,2025-06-12 14:11:01,Homemakers,174300
CMP_9571_D28,EasyZone,Mobile & Gadgets,Ahmedabad,Combo Deal: Burger + Popcorn Combo @ just ₹149 Claim Now Offer Ends Soon! *On app orders only.,2025-05-07 14:58:55,2025-07-18 09:58:55,Patients (Pharmacy),1000000
CMP_8053_A29,QuickLink,Pilgrimage & Spiritual Tours,Ahmedabad,Monsoon Magic: Flat ₹100 Cashback on Chai & Pakora orders Download App *Min. spend required.,2025-05-17 00:45:00,2025-06-19 06:45:00,SMEs,257400
CMP_7297_B30,Singh Bakery,Music Streaming Subscriptions,Ludhiana,First Time User? Get 10% OFF your first order! Order Online *Selected items only.,2025-05-19 14:12:21,2025-07-26 13:12:21,College Students,190700
CMP_9699_D31,Star Mart,Home Cleaning Services,Coimbatore,Combo Deal: Mobile Recharge + Raita @ just ₹299 While Stocks Last!,2025-04-08 08:27:05,2025-05-27 00:27:05,Investors / Traders,163400
CMP_5101_B32,Reddy Co.,Seafood Restaurants,Delhi (NCR),First Time User? Get 15% OFF your first order! Learn More Offer Ends Soon!,2025-05-04 16:24:04,2025-06-23 18:24:04,Movie Goers,471100
CMP_5927_C33,Smart Hub,Supermarket Deals,Vadodara,Upgrade Offer: Exchange your old Refrigerator for new & get ₹1000 bonus Explore Collection Weekend Deal!,2025-03-27 06:02:36,2025-06-22 01:02:36,Travel Buffs,338200
CMP_2270_E34,Singh Opticals,Pet Care,Chandigarh,Refer a Friend & Earn ₹100 wallet cash Learn More Ending Midnight! *Min. spend required.,2025-04-30 19:45:09,2025-07-07 03:45:09,Parents (School Supplies),280300
CMP_1118_D35,Raj Plaza,Street Food Delights,Jodhpur,New Arrival Launch Offer: Get Pooja Thali% introductory discount Visit Store *New users only.,2025-04-26 16:18:42,2025-07-18 19:18:42,Discount Seekers,159700
CMP_5701_E36,Sharma Electronics,Fitness & Yoga Centers,Lucknow,Upgrade Offer: Exchange your old Refrigerator for new & get ₹5000 bonus Get Offer Ending Midnight!,2025-04-19 00:24:41,2025-04-29 14:24:41,Fitness Enthusiasts,73400
CMP_2341_C37,Maha Life Store,Home Decor & Furnishing,Jodhpur,Clearance Sale: FLAT 15% OFF on selected items Get Offer Limited Time Offer! *T&C Apply.,2025-04-20 01:49:17,2025-04-29 03:49:17,Car Buyers,47800
CMP_4939_B38,Reddy Traders,Beauty & Personal Care,Kolkata,Bill Payment Offer: Save Handicraft Item% on your next electricity bill *New users only.,2025-05-11 10:06:59,2025-05-21 10:06:59,Young Professionals (23-30),98100
CMP_5739_E39,Star Bazaar,Insurance Products,Chandigarh,Recharge Bonanza: Get ₹50 Cashback on mobile recharge of ₹199 or more Recharge Now *New users only.,2025-04-17 12:46:44,2025-05-06 13:46:44,Job Seekers,195900
CMP_1261_C40,Verma Mobiles,Startup Funding,Hyderabad,Weekend Getaway Deal: ₹1000 OFF on trips to Rishikesh Camps! Order Online Weekend Deal!,2025-05-12 16:56:46,2025-06-21 16:56:46,Home Buyers,300900
CMP_7178_B41,Shimla Event Planners,Amusement Parks,Shimla,Flash Sale Alert: ₹500 OFF for next 3 hours! Explore Collection Ending Midnight! *On app orders only.,2025-04-11 01:15:11,2025-05-04 18:15:11,Gamers,76700
CMP_4318_C42,Khan Opticals,Home Pooja Decor,Coimbatore,Shaadi Season Special: 15% Discount on Wedding Collection Visit Store,2025-03-27 17:24:07,2025-05-23 00:24:07,Newly Married Couples,85900
CMP_8746_E43,Khan Enterprises,Telecom Recharge Offers,Surat,Ganesh Chaturthi Offer: Free Modak box with select sweet purchases Book Today! Limited Time Offer! *Selected items only.,2025-05-08 13:20:22,2025-05-17 09:20:22,Fitness Enthusiasts,72900
CMP_9053_D44,RoyalAgency,Street Food Delights,Nagpur,Shaadi Season Special: 10% Discount on Wedding Collection Claim Now Few Spots Left!,2025-05-03 18:51:28,2025-07-03 19:51:28,Young Professionals (23-30),72100
CMP_1492_B45,Royal Point,Regional Cuisine Restaurants,Surat,Holi Hungama: 30% OFF on all colours! Shop Now! Weekend Deal! *Min. spend required.,2025-05-24 13:29:33,2025-07-27 23:29:33,Investors / Traders,416000
CMP_7170_D46,Sharma Mobiles,Bollywood Movies & Music,Mumbai,Weekend Getaway Deal: ₹1500 OFF on trips to Jaipur! Learn More Ending Midnight! *Offer valid in Mumbai.,2025-04-23 16:33:47,2025-04-27 18:33:47,Luxury Buyers,68400
CMP_5691_A47,Shah Bakery,Gaming Tournaments (India),Puducherry,Rakhi Special: Buy Gift Voucher Get 1 Free on gifts Download App,2025-04-20 21:23:19,2025-04-26 21:23:19,Gamers,25600
CMP_1811_E48,QuickZone,Pharma Companies,Amritsar,Refer a Friend & Earn ₹100 wallet cash Explore Collection Limited Time Offer! *Offer valid in Amritsar.,2025-04-12 19:54:22,2025-06-28 01:54:22,Wedding Shoppers,159600
CMP_1558_C49,Jain Quick Cabs,Gaming Tournaments (India),Chennai,Rakhi Special: Buy Pooja Thali Get 1 Free on gifts Visit Store *New users only.,2025-04-18 06:13:57,2025-05-05 16:13:57,Gamers,138500
CMP_1804_C50,Desi Mart,Consumer Electronics,Rishikesh,Flash Sale Alert: ₹25 OFF for next 3 hours! *New users only.,2025-04-16 10:11:15,2025-05-25 13:11:15,Eco-conscious Consumers,174400
CMP_5415_C51,Reddy Enterprises,Fine Dining,Nashik,Monsoon Magic: Flat ₹100 Cashback on Chai & Pakora orders Order Online While Stocks Last! *Offer valid in Nashik.,2025-05-22 17:09:30,2025-08-02 14:09:30,Parents (School Supplies),736500
CMP_5460_E52,Malhotra Tours & Travels,Gold & Jewellery,Rishikesh,IPL Fever: Predict & Win Discount Coupon worth ₹25 Recharge Now Today Only! *Selected items only.,2025-05-05 12:10:22,2025-05-16 04:10:22,DIY Crafters,50000
CMP_5960_C53,Raj Express,Amusement Parks,Hyderabad,Clearance Sale: FLAT 30% OFF on selected items Learn More Weekend Deal! *Offer valid in Hyderabad.,2025-05-25 02:53:36,2025-07-23 05:53:36,Car Buyers,479700
CMP_3575_E54,Digital India Dhaba,OTT Platform Offers,Chandigarh,First Time User? Get 40% OFF your first order! Get Offer *New users only.,2025-04-02 02:47:18,2025-05-05 21:47:18,Parents (School Supplies),543800
CMP_9310_E55,DigitalAgency,Quick Service Restaurants (QSR),Darjeeling,Bill Payment Offer: Save Sweets Box% on your next electricity bill Shop Now! *Min. spend required.,2025-04-28 09:02:10,2025-06-21 04:02:10,College Students,178000
CMP_5991_C56,Apna Chowk,Sports Equipment,Chandigarh,Navratri Nights Discount: 20% OFF on Garba passes/ethnic wear Shop Now! *New users only.,2025-03-26 13:48:55,2025-04-04 02:48:55,Young Professionals (23-30),39600
CMP_6717_D57,QuickConnect,Music Streaming Subscriptions,Mysore,Refer a Friend & Earn ₹25 wallet cash Learn More *Offer valid in Mysore.,2025-04-30 09:55:29,2025-05-25 10:55:29,SMEs,99200
CMP_3876_E58,Patel Opticals,Amusement Parks,Madurai,Independence Day Sale: Upto 25% OFF everything! Visit Store *Min. spend required.,2025-05-09 17:19:44,2025-07-04 14:19:44,Newly Married Couples,120800
CMP_8733_E59,Sharma Electronics,Music Streaming Subscriptions,Ahmedabad,Rakhi Special: Buy Sweets Box Get 1 Free on gifts Download App *Selected items only.,2025-05-19 06:32:10,2025-06-09 14:32:10,Job Seekers,178400
CMP_6011_D60,Vedic Solutions,Ayurvedic Wellness,Aurangabad,Navratri Nights Discount: 15% OFF on Garba passes/ethnic wear Book Today! *Min. spend required.,2025-03-29 11:16:46,2025-05-11 22:16:46,Devotional Followers,71800
CMP_4017_A61,Singh Co.,Cultural Events,Shimla,Shaadi Season Special: 15% Discount on Wedding Collection Order Online Few Spots Left! *On app orders only.,2025-04-02 18:59:27,2025-05-03 05:59:27,Eco-conscious Consumers,114800
CMP_5716_A62,Naidu Quick Cabs,Cafe & Bakery Offers,Kochi,Diwali Dhamaka: Free Designer Diya Set with purchase over ₹1499 Download App Few Spots Left! *Offer valid in Kochi.,2025-04-24 02:13:23,2025-05-26 11:13:23,Car Buyers,173800
CMP_3816_C63,Hyderabad Coaching Centre,Hotel Bookings,Hyderabad,Bill Payment Offer: Save Gift Voucher% on your next electricity bill Explore Collection Ending Midnight!,2025-05-02 16:46:58,2025-06-10 00:46:58,Music Lovers,575500
CMP_8273_B64,Verma Kirana,Pilgrimage & Spiritual Tours,Thane,Ganesh Chaturthi Offer: Free Modak box with orders over ₹499 Book Today! *Offer valid in Thane.,2025-04-28 02:31:08,2025-06-29 16:31:08,Senior Citizens (60+),150800
CMP_1539_B65,Coimbatore AC Service,Organic & Desi Groceries,Coimbatore,Independence Day Sale: Upto 25% OFF everything! Shop Now! Offer Ends Soon!,2025-05-21 10:24:21,2025-07-28 09:24:21,Discount Seekers,153900
CMP_4793_D66,Apna Bazaar,Live Concerts & Events,Shimla,Flash Sale Alert: ₹100 OFF for next 3 hours! Claim Now Weekend Deal! *On app orders only.,2025-05-21 04:35:08,2025-07-20 11:35:08,Devotional Followers,160000
CMP_9479_A67,UrbanLink,Consumer Electronics,Bhopal,Shaadi Season Special: 40% Discount on Wedding Collection Explore Collection Offer Ends Soon!,2025-03-27 14:27:38,2025-04-18 20:27:38,Home Buyers,160300
CMP_2394_E68,Singh Opticals,Home Decor & Furnishing,Agra,Upgrade Offer: Exchange your old Smartphone for new & get ₹5000 bonus Shop Now! Weekend Deal! *New users only.,2025-04-07 14:37:49,2025-06-08 03:37:49,Tourists,180700
CMP_1057_E69,Vedic Junction,IT Services,Ludhiana,Upgrade Offer: Exchange your old Smartphone for new & get ₹2000 bonus Claim Now Few Spots Left! *Min. spend required.,2025-05-14 14:56:17,2025-07-22 21:56:17,Car Buyers,643500
CMP_8544_E70,FreshZone,Banking & Finance Offers,Kanpur,Holi Hungama: 10% OFF on all colours! Visit Store Weekend Deal! *Min. spend required.,2025-05-07 23:08:18,2025-07-22 08:08:18,DIY Crafters,520900
CMP_6434_D71,Verma Computer Repair,Bollywood Movies & Music,Amritsar,App Exclusive Deal: Travel Mug% Extra Discount! Order Online Offer Ends Soon!,2025-05-07 03:03:12,2025-08-01 01:03:12,Eco-conscious Consumers,235500
CMP_3642_A72,Das Tiffin Service,Bollywood Movies & Music,Nashik,Refer a Friend & Earn ₹200 wallet cash Get Offer Festive Special!,2025-05-10 21:55:42,2025-07-09 02:55:42,SMEs,167300
CMP_2682_C73,Chandigarh Event Planners,Astrology Services,Chandigarh,Diwali Dhamaka: Free Dry Fruits Pack with purchase over ₹999 Order Online,2025-04-28 16:06:40,2025-05-12 20:06:40,Tourists,125400
CMP_1741_C74,Quick Deals,Cultural Events,Visakhapatnam,App Exclusive Deal: Silver Coin% Extra Discount! Recharge Now,2025-04-24 00:45:44,2025-05-15 21:45:44,Music Lovers,95600
CMP_5911_C75,Malhotra Tailors,Handicrafts & Textiles,Agra,App Exclusive Deal: Handicraft Item% Extra Discount! Learn More Few Spots Left! *Offer valid in Agra.,2025-04-23 05:37:55,2025-05-16 10:37:55,Millennials (25-40),99500
CMP_3202_A76,Reddy Group,Organic & Desi Groceries,Bhopal,Refer a Friend & Earn ₹50 wallet cash Weekend Deal! *T&C Apply.,2025-04-23 22:14:10,2025-06-29 10:14:10,Gamers,137900
CMP_8036_B77,Raj Solutions,Supermarket Deals,Nagpur,Monsoon Magic: Flat ₹200 Cashback on Chai & Pakora orders Recharge Now Weekend Deal! *On app orders only.,2025-05-24 04:53:54,2025-08-21 16:53:54,College Students,225800
CMP_4746_D78,Reddy Home Cleaning,Travel & Tourism (Domestic),Indore,Weekend Getaway Deal: ₹500 OFF on trips to Kerala Backwaters! Explore Collection *New users only.,2025-04-28 15:30:40,2025-05-28 06:30:40,Discount Seekers,178400
CMP_5241_B79,PrimeAgency,Sweets & Confectionery,Darjeeling,Recharge Bonanza: Get ₹10 Cashback on mobile recharge of ₹199 or more Visit Store *Min. spend required.,2025-04-13 09:06:34,2025-05-08 22:06:34,DIY Crafters,113700
CMP_9817_A80,Patel Tailors,Quick Service Restaurants (QSR),Surat,Holi Hungama: 30% OFF on all colours! Learn More Ending Midnight!,2025-03-25 23:37:11,2025-05-01 21:37:11,Car Buyers,296000
CMP_4486_A81,Quick Deals,Regional Cuisine Restaurants,Visakhapatnam,App Exclusive Deal: Movie Ticket Voucher% Extra Discount! Visit Store,2025-05-22 09:45:02,2025-08-02 05:45:02,Discount Seekers,210800
CMP_3718_C82,StarLink,Gaming Tournaments (India),Guwahati,Shaadi Season Special: 25% Discount on Wedding Collection Explore Collection While Stocks Last!,2025-04-20 13:23:45,2025-06-21 00:23:45,College Students,157900
CMP_6405_C83,Verma Pharmacy,Astrology Services,Varanasi (Benaras),Navratri Nights Discount: 60% OFF on Garba passes/ethnic wear Recharge Now Today Only!,2025-04-30 20:17:48,2025-07-07 07:17:48,Parents (School Supplies),191300
CMP_5080_C84,Parampara Solutions,Pilgrimage & Spiritual Tours,Varanasi (Benaras),Navratri Nights Discount: 15% OFF on Garba passes/ethnic wear Download App Weekend Deal! *Min. spend required.,2025-05-16 03:54:02,2025-07-11 22:54:02,Working Mothers,108200
CMP_5118_D85,Shah Bakery,Boat Rides & Ganga Aarti,Goa,App Exclusive Deal: Handicraft Item% Extra Discount! Learn More While Stocks Last! *Min. spend required.,2025-04-19 11:36:53,2025-07-07 23:36:53,Gen Z (16-24),236500
CMP_5115_E86,Shubh Dhaba,Street Food Delights,Jodhpur,New Arrival Launch Offer: Get Gift Voucher% introductory discount Offer Ends Soon!,2025-05-20 06:43:46,2025-07-23 20:43:46,Families with Kids,72400
CMP_4978_C87,Shubh Plaza,Bill Payments (Electricity/Water),Jodhpur,Monsoon Magic: Flat ₹150 Cashback on Chai & Pakora orders Explore Collection Limited Time Offer! *Min. spend required.,2025-04-08 08:40:53,2025-06-01 11:40:53,Patients (Pharmacy),208800
CMP_2060_D88,Patel Bakery,Gardening Supplies,Chennai,Shaadi Season Special: 10% Discount on Wedding Collection Claim Now,2025-03-29 04:20:10,2025-05-05 23:20:10,Music Lovers,218600
CMP_2319_C89,EasyConnect,Sweets & Confectionery,Varanasi (Benaras),Weekend Getaway Deal: ₹3000 OFF on trips to Agra! Shop Now! *Min. spend required.,2025-04-22 09:46:39,2025-04-26 06:46:39,Music Lovers,17900
CMP_6937_C90,NextGenSolutions,Amusement Parks,Indore,Shaadi Season Special: 40% Discount on Wedding Collection Shop Now! Limited Time Offer! *T&C Apply.,2025-03-31 12:50:49,2025-05-15 07:50:49,Eco-conscious Consumers,94200
CMP_5329_E91,Varanasi Event Planners,Hotel Bookings,Varanasi (Benaras),Weekend Getaway Deal: ₹2000 OFF on trips to Jaipur! Explore Collection Limited Time Offer!,2025-05-12 15:22:06,2025-06-14 06:22:06,Newly Married Couples,124000
CMP_8328_C92,Gupta Chai Stall,IT Services,Delhi (NCR),Clearance Sale: FLAT 40% OFF on selected items Weekend Deal! *T&C Apply.,2025-05-25 22:49:25,2025-08-03 08:49:25,Luxury Buyers,1000000
CMP_2637_C93,Naidu Quick Cabs,DTH Recharge,Aurangabad,Monsoon Magic: Flat ₹25 Cashback on Chai & Pakora orders Explore Collection Festive Special!,2025-04-30 12:27:41,2025-07-20 21:27:41,Investors / Traders,207400
CMP_2715_E94,Shah Opticals,Consumer Electronics,Bangalore (Bengaluru),Flash Sale Alert: ₹50 OFF for next 3 hours! *Offer valid in Bangalore.,2025-04-16 22:38:05,2025-06-05 09:38:05,Tech Enthusiasts,1000000
CMP_3788_E95,Sharma Associates,Beauty Salon Services,Amritsar,Diwali Dhamaka: Free Sweets Box with purchase over ₹499 Claim Now Offer Ends Soon! *Min. spend required.,2025-03-27 13:39:38,2025-06-13 03:39:38,Millennials (25-40),164200
CMP_2224_C96,Gupta Associates,Home Appliances,Nagpur,Refer a Friend & Earn ₹500 wallet cash Shop Now! Ending Midnight! *T&C Apply.,2025-05-07 06:54:22,2025-06-06 14:54:22,Music Lovers,55700
CMP_3392_E97,Patel Book Depot,Home Appliances,Chennai,Combo Deal: Burger + Popcorn Combo @ just ₹249 Explore Collection Limited Time Offer! *Selected items only.,2025-05-11 14:49:07,2025-06-20 05:49:07,Families with Kids,488300
CMP_1997_B98,Khan Co.,Art Galleries,Kolkata,Holi Hungama: 30% OFF on all colours! Learn More While Stocks Last! *Selected items only.,2025-04-29 05:20:20,2025-05-06 02:20:20,Music Lovers,36600
CMP_9120_B99,Naidu Traders,Real Estate,Jodhpur,Upgrade Offer: Exchange your old Smartphone for new & get ₹1500 bonus Visit Store While Stocks Last!,2025-05-10 00:57:40,2025-05-29 17:57:40,Home Buyers,194600
CMP_2217_D00,Apna Solutions,Amusement Parks,Mysore,Refer a Friend & Earn ₹250 wallet cash Order Online *On app orders only.,2025-05-04 09:31:02,2025-07-25 13:31:02,College Students,288100
CMP_3496_D01,DigitalZone,Home Appliances,Bhopal,Holi Hungama: 50% OFF on all colours! Learn More Few Spots Left!,2025-05-04 05:52:06,2025-07-19 02:52:06,Students (Exam Prep),134800
CMP_7996_D02,Gupta Sweets,Live Concerts & Events,Jaipur,Diwali Dhamaka: Free Sweets Box with purchase over ₹1499 Visit Store,2025-04-28 15:36:06,2025-05-12 11:36:06,Music Lovers,87900
CMP_2090_C03,Agarwal Book Depot,Street Food Delights,Udaipur,New Arrival Launch Offer: Get Dinner Set% introductory discount Explore Collection Offer Ends Soon! *New users only.,2025-05-09 09:09:52,2025-06-17 15:09:52,Foodies,27500
CMP_9297_D04,Desi Mart,Home Pooja Decor,Madurai,Weekend Getaway Deal: ₹2000 OFF on trips to Ooty Hills! Get Offer,2025-03-27 11:48:29,2025-04-13 01:48:29,Job Seekers,37900
CMP_8312_C05,Verma Traders,Gardening Supplies,Aurangabad,First Time User? Get 40% OFF your first order!,2025-04-07 14:51:23,2025-04-13 04:51:23,Car Buyers,16200
CMP_5400_E06,Das Tailors,Consumer Electronics,Vadodara,Combo Deal: Pizza + Fries @ just ₹249 Order Online Today Only! *T&C Apply.,2025-05-11 09:17:53,2025-05-25 19:17:53,Senior Citizens (60+),106100
CMP_3938_E07,Naidu Event Planners,IT Services,Aurangabad,Rakhi Special: Buy Travel Mug Get 1 Free on gifts Visit Store Weekend Deal! *Selected items only.,2025-04-27 03:26:11,2025-07-18 18:26:11,Wedding Shoppers,378800
CMP_2928_C08,Udaipur Tours & Travels,Home Pooja Decor,Udaipur,Clearance Sale: FLAT 40% OFF on selected items Learn More Today Only! *Selected items only.,2025-04-17 00:56:50,2025-05-08 06:56:50,Fashion Shoppers,51800
CMP_6521_A09,Jain Tailors,Boat Rides & Ganga Aarti,Nashik,Diwali Dhamaka: Free Sweets Box with purchase over ₹799 Claim Now Festive Special!,2025-04-07 08:00:10,2025-06-21 10:00:10,Fashion Shoppers,111300
CMP_1337_D10,Kumar General Store,Music Streaming Subscriptions,Patna,Combo Deal: Kurti + Leggings @ just ₹249 Shop Now! Ending Midnight! *T&C Apply.,2025-05-04 23:37:11,2025-05-31 03:37:11,Movie Goers,89300
CMP_2802_A11,Verma Chai Stall,Pet Care,Goa,Independence Day Sale: Upto 15% OFF everything! Explore Collection Weekend Deal! *On app orders only.,2025-04-23 06:33:53,2025-05-19 05:33:53,College Students,75300
CMP_4522_E12,Shubh Deals,Bill Payments (Electricity/Water),Madurai,Bill Payment Offer: Save Bluetooth Speaker% on your next electricity bill Explore Collection Few Spots Left!,2025-05-04 09:06:28,2025-07-14 13:06:28,Travel Buffs,179200
CMP_9939_C13,Gupta Co.,Flight/Train Tickets,Agra,First Time User? Get 25% OFF your first order! Recharge Now *Selected items only.,2025-05-04 06:06:45,2025-06-12 07:06:45,Patients (Pharmacy),91400
CMP_6857_C14,Naidu Event Planners,OTT Platform Offers,Hyderabad,Clearance Sale: FLAT 70% OFF on selected items Download App Festive Special! *Offer valid in Hyderabad.,2025-05-13 20:07:23,2025-07-03 21:07:23,SMEs,755100
CMP_2866_B15,Parampara Solutions,Beauty Salon Services,Thane,Navratri Nights Discount: 40% OFF on Garba passes/ethnic wear Learn More *On app orders only.,2025-03-30 00:23:54,2025-06-17 09:23:54,Tech Enthusiasts,290400
CMP_1524_B16,Sharma Enterprises,Gaming Tournaments (India),Vadodara,Flash Sale Alert: ₹250 OFF for next 3 hours! Learn More *New users only.,2025-04-26 11:34:31,2025-06-30 14:34:31,Tourists,152700
CMP_4336_E17,UrbanBasket,Fine Dining,Udaipur,Ganesh Chaturthi Offer: Free Modak box with select sweet purchases Explore Collection,2025-05-02 05:04:38,2025-05-29 01:04:38,Patients (Pharmacy),255500
CMP_1611_E18,Jain Book Depot,Astrology Services,Puducherry,App Exclusive Deal: Bluetooth Speaker% Extra Discount! Download App *Min. spend required.,2025-04-16 08:05:16,2025-05-24 12:05:16,Fashion Shoppers,152200
CMP_1649_C19,PrimeConnect,DTH Recharge,Coimbatore,Flash Sale Alert: ₹150 OFF for next 3 hours! Book Today! Offer Ends Soon! *Min. spend required.,2025-04-20 16:45:50,2025-07-20 02:45:50,Business Owners,191700
CMP_5117_E20,Agarwal Co.,Bill Payments (Electricity/Water),Pune,Recharge Bonanza: Get ₹30 Cashback on mobile recharge of ₹199 or more Few Spots Left! *Selected items only.,2025-05-16 22:20:44,2025-05-20 00:20:44,Foodies,100200
CMP_1416_E21,Verma Associates,Toys & Baby Products,Lucknow,Recharge Bonanza: Get ₹30 Cashback on mobile recharge of ₹149 or more *Min. spend required.,2025-05-06 20:21:04,2025-05-14 14:21:04,DIY Crafters,38000
